dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AA446IH;9037;"SERVICIO COMÚN";2017;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";10/10/2026;114225;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AHM000805;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2026-10-10
AA914MZ;9024;"SERVICIO COMÚN";2017;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";07/02/2027;260681;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;9;8BBC59B1AHM002385;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2025-02-13
AA935NQ;9029;"SERVICIO COMÚN";2017;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";17/01/2027;259175;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;9;8BBC59B1AHM002398;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2025-03-05
AB340HE;9023;"SERVICIO COMÚN";2017;51;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";19/12/2026;255156;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;23743/2017;;053/17;;;9;8BBC87B7AHM000039;AGRALE;"MT 27.0 Articulado Euro V";SI;JN:NACIONAL;SI;UC:2024-03-05
AB340HF;9351;"SERVICIO COMÚN";2017;51;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";18/01/2027;323554;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;23743/2017;;053/17;;;164;8BBC87B7AHM000035;AGRALE;"MT 27.0 Articulado Euro V";SI;JN:NACIONAL;SI;UC:2024-03-05
AB340HH;9350;"SERVICIO COMÚN";2017;51;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";17/01/2027;301163;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;23743/2017;;053/17;;;164;8BBC87B7AHM000031;AGRALE;"MT 27.0 Articulado Euro V";SI;JN:NACIONAL;SI;UC:2024-02-25
AB340HO;9034;"SERVICIO COMÚN";2017;51;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";21/11/2026;122215;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;23743/2017;;053/17;;;9;8BBC87B7AHM000036;AGRALE;"MT 27.0 Articulado Euro V";SI;JN:NACIONAL;SI;UC:2024-01-20
AB933WS;9011;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/10/2026;115656;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AJM001009;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2023-03-01
AB933WU;9010;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";12/02/2027;418882;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AJM001008;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2023-03-01
AB984LE;9012;"SERVICIO COMÚN";2018;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";15/11/2026;119250;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;9;8BBC67B1AJM001011;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2023-03-01
