linea,fecha,dominio,interno
197,10/06/2026,AH091WU,802.0
197,10/06/2026,AH194II,803.0
197,10/06/2026,AH194IJ,811.0
197,25/03/2026,AH282HQ,816.0
197,25/03/2026,NRU590,817.0
197,25/03/2026,AH282HM,826.0
197,25/03/2026,AH194IH,830.0
197,25/03/2026,AH282HP,836.0
197,10/06/2026,AH205AG,850.0
197,10/06/2026,AH205AF,852.0
197,25/03/2026,AG846OF,854.0
197,10/06/2026,AG846OG,855.0
197,25/03/2026,AH062GV,860.0
197,25/03/2026,NUB588,862.0
197,10/06/2026,AH062GW,865.0
197,10/06/2026,AH062GX,869.0
197,10/06/2026,AH194ID,876.0
197,10/06/2026,AH194IG,883.0
197,25/03/2026,AG800MX,887.0
