Recordar que estas unidades son las que vimos durante el año y no hay que repetir.,,
,,
,,
LINEA 22,,
,,
FECHA,DOMINIO,INTERNO
03/02/2026,AA556VC,301
01/04/2026,OWG796,302
03/02/2026,NWD145,303
01/09/2026,NWD146,303
01/09/2026,OJH809,304
03/02/2026,NWM384,305
17/07/2026,OIN012,306
17/07/2026,PLJ321,307
18/05/2026,NWM383,309
03/02/2026,NWM386,310
17/07/2026,OTO687,311
01/09/2026,PMX286,312
03/02/2026,PAX143,313
18/05/2026,OIS834,314
18/05/2026,PMX285,315
01/09/2026,PMX284,315
03/02/2026,OVS434,316
01/04/2026,AA383LA,317
01/04/2026,OHJ292,319
18/05/2026,OHJ289,321
01/04/2026,OHJ290,322
03/02/2026,OHJ291,323
17/07/2026,AA040AW,324
01/04/2026,AA383MV,325
01/04/2026,OKJ777,326
01/09/2026,OKJ777,326
01/09/2026,ONV915,327
17/07/2026,OQZ445,330
17/07/2026,ONV913,332
17/07/2026,NWD144,333
18/05/2026,NDW145,336
01/09/2026,NWD145,336
03/02/2026,OMX979,337
01/04/2026,AA356KZ,340
01/04/2026,ONV914,344
17/07/2026,PLJ320,345
01/09/2026,OGI355,346
18/05/2026,AA556VB,348
03/02/2026,PMX285,352
01/04/2026,NWD147,354
18/05/2026,PLJ318,360
18/05/2026,PNN729,362
18/05/2026,AA537ZZ,366
