fecha,dominio,interno,linea
2026-01-12 00:00:00,AE964TU,208,95
2026-01-12 00:00:00,AE964TW,238,95
2026-01-12 00:00:00,AF074FK,235,95
2026-01-12 00:00:00,AF074FO,219,95
2026-01-12 00:00:00,AF074FR,210,95
2026-01-12 00:00:00,AF233LG,245,95
2026-01-12 00:00:00,AF233LH,217,95
2026-01-12 00:00:00,AF233LZ,244,95
2026-01-12 00:00:00,AF341FT,233,95
2026-01-12 00:00:00,AG512JM,225,95
2026-03-02 00:00:00,AE571FA,224,95
2026-03-02 00:00:00,AE571FC,238,95
2026-03-02 00:00:00,AE850CD,215,95
2026-03-02 00:00:00,AF074FJ,211,95
2026-03-02 00:00:00,AF074FM,205,95
2026-03-02 00:00:00,AF074FP,202,95
2026-03-02 00:00:00,AF111VC,250,95
2026-03-02 00:00:00,AF313EX,226,95
2026-03-02 00:00:00,AF423QU,201,95
2026-03-02 00:00:00,NGB985,231,95
2026-04-20 00:00:00,AE535LZ,214,95
2026-04-20 00:00:00,AE881FZ,247,95
2026-04-20 00:00:00,AE928MJ,253,95
2026-04-20 00:00:00,AF038WR,222,95
2026-04-20 00:00:00,AF233LY,246,95
2026-04-20 00:00:00,AF233LZ,244,95
2026-04-20 00:00:00,AF313EE,249,95
2026-04-20 00:00:00,AF313EH,216,95
2026-04-20 00:00:00,AF341FA,236,95
2026-04-20 00:00:00,PEJ036,241,95
2026-06-17 00:00:00,AE624OI,251,95
2026-06-17 00:00:00,AF111VA,206,95
2026-06-17 00:00:00,AF262CN,240,95
2026-06-17 00:00:00,AF265QA,232,95
2026-06-17 00:00:00,AF338XX,239,95
2026-06-17 00:00:00,AF338XY,230,95
2026-06-17 00:00:00,AF398EP,207,95
2026-06-17 00:00:00,AF839UJ,255,95
2026-07-28 00:00:00,AE571FC,248,95
2026-07-28 00:00:00,AF262CY,227,95
2026-07-28 00:00:00,AF423QW,252,95
2026-07-28 00:00:00,AF839UI,242,95
2026-07-28 00:00:00,AF839UK,231,95
2026-07-28 00:00:00,OCS278,254,95
2026-07-28 00:00:00,OLG239,209,95
2026-07-28 00:00:00,OVY597,243,95
2026-08-31 00:00:00,AF038WR,222,95
2026-08-31 00:00:00,AF074FI,213,95
2026-08-31 00:00:00,AF074FK,235,95
2026-08-31 00:00:00,AF245NA,223,95
2026-08-31 00:00:00,AF262CY,227,95
2026-08-31 00:00:00,AF313EH,216,95
2026-08-31 00:00:00,NUZ590,203,95
2026-08-31 00:00:00,OVY598,221,95
2026-08-31 00:00:00,PBS005,204,95
