dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AF266II;4704;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;17/05/2026;717060;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002002;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IJ;4706;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;17/10/2026;77034;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002020;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IL;4707;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;20/10/2026;125359;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002021;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IM;4710;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;22/10/2026;125381;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002025;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IN;4713;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;21/10/2026;125368;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002003;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IP;4741;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/11/2026;125549;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002028;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IR;4733;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;19/12/2026;263442;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002027;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IS;4711;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;27/11/2026;130780;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002022;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IT;4709;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;18/12/2026;263427;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002023;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
AF266IU;4721;SERVICIO COMÚN;2022;33;2042;30545775855;TRANSPORTES AUTOMOTORES RIACHUELO S.A.;13/12/2026;263398;CENT;URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO;TODOBUS;;2021-28406356;;016/21;;;134;8BBC67B1ANM002026;AGRALE;MT 17.0 LE 6000;SI;JN:NACIONAL;SI;UC:2032-12-31
