dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA195PL;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3033;2016;;;;UC: 2026-12-31;10/10/2026
AA556KG;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3064;2017;;;;UC: 2023-07-10;05/02/2027
AA556KH;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3080;2017;;;;UC: 2027-12-31;22/01/2027
AA556KM;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3083;2017;;;;UC: 2027-12-31;08/10/2026
AA556KN;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3047;2017;;;;UC: 2027-12-31;07/01/2027
AA556KR;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3069;2017;;;;UC: 2027-12-31;18/12/2026
AA608MZ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3058;2017;;;;UC: 2023-12-16;15/10/2026
AA688JZ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3050;2016;;;;UC: 2026-12-31;09/12/2026
AA755RB;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3078;2016;;;;UC: 2026-12-31;05/11/2026
AA836QW;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3085;2017;;;;UC: 2027-12-31;16/01/2027
AA839OS;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3077;2017;;;;UC: 2027-12-31;09/10/2026
AA894KC;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3086;2017;;;;UC: 2027-12-31;24/10/2026
AA894KH;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3054;2017;;;;UC: 2027-12-31;19/09/2026
AA894KI;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3051;2017;;;;UC: 2027-12-31;17/09/2026
AA894KK;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3084;2017;;;;UC: 2027-12-31;13/11/2026
AA894KL;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3075;2017;;;;UC: 2027-12-31;12/02/2027
AB345QZ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3042;2017;;;;UC: 2027-12-31;13/02/2027
AB379VT;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3052;2017;;;;UC: 2023-12-16;10/10/2026
AB379VU;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3071;2017;;;;UC: 2027-12-31;15/02/2027
AB380NH;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3066;2017;;;;UC: 2027-12-31;23/01/2027
AC029ZV;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3059;2018;;;;UC: 2023-11-19;12/02/2027
AC496KT;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3061;2018;;;;UC: 2023-12-16;23/10/2026
AC520JF;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3087;2018;;;;UC: 2028-12-31;06/11/2026
AC681UI;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3043;2018;;;;UC: 2028-12-31;27/10/2026
AD058VL;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3014;2018;;;;UC: 2026-12-12;17/12/2026
AD058VU;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3009;2019;;;;UC: 2026-12-12;16/12/2026
AG578ZD;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3035;2024;;;;UC: 2034-12-31;09/11/2026
AG653MO;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3041;2024;;;;UC: 2034-12-31;21/11/2026
AG653MP;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3040;2024;;;;UC: 2034-12-31;21/11/2026
AG653MQ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3038;2024;;;;UC: 2034-12-31;06/12/2026
AG653MR;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3036;2024;;;;UC: 2034-12-31;20/11/2026
AG854NA;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3034;2024;;;;UC: 2034-12-31;09/10/2026
AG854NB;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3056;2024;;;;UC: 2034-12-31;11/11/2026
AG854NC;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3037;2024;;;;UC: 2034-12-31;18/11/2026
AG854ND;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3017;2024;;;;UC: 2034-12-31;18/10/2026
AH414IK;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3067;2025;;;;UC: 2035-12-31;14/11/2026
AH414JG;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3060;2025;;;;UC: 2035-12-31;19/11/2026
AH414LJ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3063;2025;;;;UC: 2035-12-31;12/11/2026
AH414LK;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3062;2025;;;;UC: 2035-12-31;23/11/2026
AH496VA;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3076;2025;;;;UC: 2035-12-31;04/12/2026
AI357IH;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3057;2026;;;;UC: 2036-12-31;18/01/2027
AI357IO;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3053;2026;;;;UC: 2036-12-31;17/01/2027
AI357IP;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3005;2026;;;;UC: 2036-12-31;17/01/2027
AI357IQ;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3092;2026;;;;UC: 2036-12-31;17/01/2027
AI357IR;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3045;2026;;;;UC: 2036-12-31;18/01/2027
AI396MU;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3008;2026;;;;UC: 2036-12-31;05/02/2027
OXQ007;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3004;2016;;;;UC: 2026-12-31;30/09/2026
OXQ009;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3002;2016;;;;UC: 2026-12-31;14/12/2026
OXQ010;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3001;2016;;;;UC: 2026-12-31;06/10/2026
PAC451;2105;EXPRESO SAN ISIDRO S.A.T.C.I.F.I.;168;3070;2016;;;;UC: 2026-12-31;21/12/2026
