dominio,interno,servicios,anioModelo,cantAsientos,empresaNro,cuit,razonSocial,vigenciaHastaInspeccionTecnica,tecnicaNro,tipoTecnica,categoriaAprob,CarroceriaMarca,CarroceriaModelo,expOrig,expModif,disposicion,tacografoMarca,tacografoNro,linea,chasisNro,chasisMarca,chasisModelo,accesibilidad,jurisdiccion,aireAcondicionado,vigenciaHasta
AB570SH,269,SERVICIO COMÚN,2017,26,2024,30568352560,LINEA 17 S.A.,11/11/2026,110645,CENT,URBANO PISO BAJO MOV RED,AUTOBUS,,75501/2016,,073/16,,,17,8AB368187HA146770,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2027-12-31
AD419ZJ,272,SERVICIO COMÚN,2019,26,2024,30568352560,LINEA 17 S.A.,12/02/2027,330654,CENT,URBANO PISO BAJO MOV RED,AUTOBUS,,75501/2016,,073/16,,,17,8AB368187KA149263,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2029-12-31
AD419ZX,223,SERVICIO COMÚN,2019,26,2024,30568352560,LINEA 17 S.A.,30/12/2026,252735,CENT,URBANO PISO BAJO MOV RED,AUTOBUS,,75501/2016,,073/16,,,17,8AB368187KA149252,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2029-12-31
AE096WE,270,SERVICIO COMÚN,2020,26,2024,30568352560,LINEA 17 S.A.,21/01/2027,320843,CENT,URBANO PISO BAJO MOV RED,AUTOBUS,,75501/2016,,073/16,,,17,8AB368187LA149630,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2030-12-31
AE096WW,261,SERVICIO COMÚN,2020,26,2024,30568352560,LINEA 17 S.A.,16/12/2026,249438,CENT,URBANO PISO BAJO MOV RED,BAM BAM,MENGHI,94769/2016,,0140/16,,,17,8AB368187LA149728,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2030-12-31
AE126SG,233,SERVICIO COMÚN,2020,26,2024,30568352560,LINEA 17 S.A.,17/12/2026,249477,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2018-66869977,,009/19,,,17,8AB368187LA149903,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2030-12-31
AE683BI,271,SERVICIO COMÚN,2021,26,2024,30568352560,LINEA 17 S.A.,21/01/2027,320853,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2018-66869977,,009/19,,,17,8AB368187MA150336,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2031-12-31
AE683BL,206,SERVICIO COMÚN,2021,26,2024,30568352560,LINEA 17 S.A.,28/11/2026,245086,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2018-66869977,,009/19,,,17,8AB368187MA150261,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2031-12-31
AE705DJ,273,SERVICIO COMÚN,2021,26,2024,30568352560,LINEA 17 S.A.,28/02/2027,335961,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2018-66869977,,009/19,,,17,8AB368187MA150346,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2031-12-31
AE705DK,236,SERVICIO COMÚN,2021,26,2024,30568352560,LINEA 17 S.A.,26/09/2026,95473,CENT,URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO,AUTOBUS,,2018-66869977,,009/19,,,17,8AB368187MA150418,MERCEDES BENZ,OH 1721 L-SB/62,SI,JN:NACIONAL,SI,UC:2031-12-31
