DOMINIO;INTERNO;MODELO (AÑO);HABILITADO HASTA;TÉCNICA VIGENTE HASTA;N° TÉCNICA;EMPRESA NRO;RAZON SOCIAL;LINEA
AA326DV;6009;2016;UC: 2020-07-17;06/11/2026;115777;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA326DZ;6065;2016;UC: 2020-07-15;15/10/2026;114284;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA336LD;6023;2016;UC: 2020-08-06;25/02/2027;419964;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA336LK;6040;2016;UC: 2026-12-31;20/09/2026;66861;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA446ID;6039;2016;UC: 2026-12-31;23/10/2026;115633;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA446IF;6066;2016;UC: 2020-05-22;24/10/2026;115654;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA446IG;6060;2016;UC: 2020-05-22;13/11/2026;119192;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DL;6026;2016;UC: 2020-08-10;21/01/2027;259222;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DM;6031;2016;UC: 2020-10-08;22/01/2027;259250;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DN;6034;2016;UC: 2020-10-08;05/02/2027;260646;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DP;6025;2016;UC: 2020-08-05;06/01/2027;255984;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DQ;6032;2016;UC: 2020-10-08;07/01/2027;256012;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DR;6033;2016;DR: 2020-10-08;07/02/2027;260682;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467DS;6024;2016;UC: 2020-08-05;10/12/2026;253165;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EA;6014;2017;UC: 2020-08-05;07/11/2026;115803;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EB;6029;2016;UC: 2020-08-05;04/02/2027;260624;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EC;6028;2016;UC: 2020-08-06;22/12/2026;255192;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467ED;6036;2016;UC: 2021-01-22;17/12/2026;253263;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EE;6027;2016;UC: 2020-08-05;14/01/2027;259088;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EG;6013;2017;UC: 2020-08-04;08/12/2026;253113;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EH;6035;2016;UC: 2021-01-22;18/12/2026;253286;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA467EN;6030;2016;UC: 2020-10-08;06/02/2027;260662;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA537LN;6073;2017;UC: 2022-03-03;11/12/2026;253186;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA537LO;6076;2017;UC: 2022-03-10;19/12/2026;255168;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA537LP;6002;2017;DR: 2022-03-03;20/01/2027;259197;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA537LR;6017;2017;UC: 2022-04-12;24/01/2027;260506;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
AA537LS;6079;2017;DR: 2027-12-31;20/11/2026;122201;2075;MICRO OMNIBUS NORTE S.A. (M.O.N.S.A.);60
