dominio;empresaNro;razonSocial;linea;interno;modelo;chasisMarca;carroceriaMarca;habilitado_hasta;vta_vigencia;vta_numero
AA446IH;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9037;2017;;;UC: 2026-10-10;10/10/2026;114225
AA914MZ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9024;2017;;;UC: 2025-02-13;07/02/2027;260681
AA935NQ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9029;2017;;;UC: 2025-03-05;17/01/2027;259175
AB340HE;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9023;2017;;;UC: 2024-03-05;19/12/2026;255156
AB340HF;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9351;2017;;;UC: 2024-03-05;18/01/2027;323554
AB340HH;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9350;2017;;;UC: 2024-02-25;17/01/2027;301163
AB340HO;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9034;2017;;;UC: 2024-01-20;21/11/2026;122215
AB933WS;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9011;2018;;;UC: 2023-03-01;24/10/2026;115656
AB933WU;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9010;2018;;;UC: 2023-03-01;12/02/2027;418882
AB984LE;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9012;2018;;;UC: 2023-03-01;15/11/2026;119250
AC064UQ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9359;2018;;;UC: 2026-09-09;28/02/2027;329303
AC467NC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9065;2018;;;UC: 2023-02-24;09/12/2026;253151
AC873VL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9031;2018;;;UC: 2024-09-05;16/12/2026;253249
AC873WC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9016;2018;;;UC: 2028-12-31;05/02/2027;260645
AC873WE;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9014;2018;;;UC: 2028-12-31;06/02/2027;260672
AC925SZ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9015;2018;;;UC: 2028-12-31;11/02/2027;418854
AD096BC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9042;2018;;;UC: 2028-12-31;24/02/2027;419083
AD096BD;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9064;2018;;;UC: 2028-12-31;19/02/2027;419006
AD198TR;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9022;2019;;;UC: 2029-12-31;14/02/2027;418946
AD255SL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9045;2019;;;UC: 2025-02-12;17/09/2026;63893
AD255SM;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9061;2019;;;UC: 2025-02-12;13/02/2027;418913
AD463UN;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9353;2019;;;UC: 2029-12-31;26/12/2026;250064
AD463UR;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9043;2019;;;UC: 2024-01-01;11/10/2026;114235
AD463UW;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9044;2019;;;UC: 2024-01-05;09/10/2026;67090
AD463UY;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9013;2019;;;UC: 2024-01-14;20/10/2026;114370
AD558VL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9328;2019;;;UC: 2024-02-14;26/09/2026;95209
AD706SX;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9361;2019;;;UC: 2029-12-31;30/12/2026;250148
AD706TF;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9360;2019;;;UC: 2029-12-31;30/12/2026;250150
AD882PA;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9344;2019;;;UC: 2029-12-31;26/12/2026;250068
AD947XC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9342;2019;;;UC: 2029-12-31;28/09/2026;95231
AD947XD;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9339;2019;;;UC: 2029-12-31;19/12/2026;249971
AD947XE;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9341;2019;;;UC: 2029-12-31;08/10/2026;99131
AD947XG;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9343;2019;;;UC: 2029-12-31;25/12/2026;250047
AD947XK;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9340;2019;;;UC: 2029-12-31;22/12/2026;249992
AD947XY;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9334;2019;;;UC: 2029-12-31;08/01/2027;301021
AD947XZ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9336;2019;;;UC: 2029-12-31;25/12/2026;250051
AD947YA;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9335;2019;;;UC: 2029-12-31;09/12/2026;243112
AD947YB;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9337;2019;;;UC: 2029-12-31;10/01/2027;301043
AD947YC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9338;2019;;;UC: 2029-12-31;13/12/2026;247004
AD947YK;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9329;2019;;;UC: 2029-12-31;01/01/2027;250159
AD947YN;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9330;2019;;;UC: 2029-12-31;24/12/2026;250026
AD947YO;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9333;2019;;;UC: 2029-12-31;08/11/2026;108261
AD947YP;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9331;2019;;;UC: 2029-12-31;02/01/2027;250173
AD947YQ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9332;2019;;;UC: 2029-12-31;08/01/2027;301022
AE046JJ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9364;2020;;;UC: 2026-12-17;18/12/2026;247047
AE094JE;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9322;2020;;;UC: 2030-12-31;11/02/2027;327988
AE094JF;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9326;2020;;;UC: 2030-12-31;29/01/2027;323738
AE094JG;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9319;2020;;;UC: 2030-12-31;23/01/2027;323638
AE094JH;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9321;2020;;;UC: 2030-12-31;18/02/2027;328070
AE094JI;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9320;2020;;;UC: 2030-12-31;27/01/2027;323695
AE094JJ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9324;2020;;;UC: 2030-12-31;27/01/2027;323686
AE094JK;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9325;2020;;;UC: 2030-12-31;08/01/2027;301020
AE094JL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9323;2020;;;UC: 2030-12-31;31/01/2027;323777
AE094KL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9309;2020;;;UC: 2030-12-31;01/03/2027;329307
AE094KM;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9307;2020;;;UC: 2030-12-31;27/02/2027;328247
AE094KN;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9301;2020;;;UC: 2030-12-31;24/01/2027;323652
AE094KO;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9308;2020;;;UC: 2030-12-31;14/02/2027;327449
AE094KP;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9306;2020;;;UC: 2030-12-31;13/02/2027;327416
AE094KQ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9304;2020;;;UC: 2030-12-31;24/01/2027;323654
AE094KR;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9305;2020;;;UC: 2030-12-31;27/01/2027;324513
AE094KS;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9303;2020;;;UC: 2030-12-31;31/01/2027;323769
AE094KT;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9302;2020;;;UC: 2030-12-31;24/01/2027;323648
AE094KV;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9318;2020;;;UC: 2030-12-31;12/09/2026;60088
AE094KW;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9316;2020;;;UC: 2030-12-31;28/02/2027;329291
AE094KX;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9314;2020;;;UC: 2030-12-31;05/02/2027;324789
AE094KY;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9315;2020;;;UC: 2030-12-31;24/02/2027;328177
AE094KZ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9317;2020;;;UC: 2030-12-31;28/02/2027;329296
AE112GA;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9312;2020;;;UC: 2030-12-31;28/02/2027;329261
AE112GB;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9310;2020;;;UC: 2030-12-31;23/01/2027;323636
AE112GC;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9313;2020;;;UC: 2030-12-31;28/02/2027;329281
AE112GD;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9311;2020;;;UC: 2030-12-31;20/01/2027;323567
AE183RX;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9363;2020;;;UC: 2030-12-31;26/12/2026;250056
AE183RY;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9362;2020;;;UC: 2026-12-17;18/12/2026;248407
AE512KW;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9365;2020;;;UC: 2030-12-31;27/12/2026;250093
AE590KQ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9036;2021;;;UC: 2031-12-31;10/01/2027;256080
AE590LH;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9028;2021;;;UC: 2031-12-31;10/01/2027;256085
AE590LU;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9030;2021;;;UC: 2031-12-31;10/01/2027;256083
AE624WA;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9060;2021;;;UC: 2031-12-31;26/02/2027;419989
AE624WB;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9063;2021;;;UC: 2031-12-31;22/01/2027;259263
AE624WI;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9049;2021;;;UC: 2031-12-31;20/09/2026;66860
AE624WJ;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9048;2021;;;UC: 2031-12-31;09/10/2026;67086
AE624WK;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9046;2021;;;UC: 2031-12-31;09/10/2026;67075
AE624WL;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9059;2021;;;UC: 2031-12-31;23/10/2026;115640
AE624WM;2062;GENERAL TOMAS GUIDO S.A.C.I.F.;9;9020;2021;;;UC: 2031-12-31;25/09/2026;66905
